20,248320,13
20,224090,13
20,234730,13
20,236090,14
20,241480,14
20,238630,16
20,224080,13
20,241230,14
20,244770,14
20,215290,12
20,248140,15
20,249240,13
20,231220,15
20,247170,12
20,205680,13
20,227480,14
20,233080,13
20,248830,13
20,238370,15
20,229630,14
20,220070,13
20,246730,14
20,229470,16
20,249990,10
20,234370,13
20,231990,15
20,249940,11
20,249930,10
20,249980,13
20,249980,9
20,209520,15
20,217830,14
20,232630,12
20,228990,14
20,249970,13
20,211230,14
20,191970,15
20,238590,14
20,242780,14
20,246870,15
20,241530,14
20,248880,14
20,240430,14
20,226980,14
20,214390,13
20,248970,14
20,246990,15
20,211130,14
20,248940,13
20,249950,11
